PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00MIY,6k1/3R3p/1p5q/3P4/3QP1pN/6P1/PPr3B1/5rK1 w - - 0 25,g1f1 h6c1 d4d1 c1d1,1516,85,80,44.0,endgame mate mateIn2 short,https://lichess.org/SHHHsXB9#49,
00MNf,r1b3k1/pp3Rpp/3p4/2pN4/2P4b/5Q1P/PPP3P1/4qNK1 b - - 0 21,h4f6 f7f6 g7f6 f3f6,2017,148,50,15.0,crushing middlegame short,https://lichess.org/S4llTtjA/black#42,
00MS3,rn1qr1k1/1p2bppp/2p2B2/p2p4/3P4/2N2N2/PPP1QPPP/2KRR3 b - - 0 12,e7f6 e2e8 d8e8 e1e8,824,83,83,122.0,backRankMate mate mateIn2 middlegame short,https://lichess.org/Eia6KIcR/black#24,French_Defense French_Defense_Exchange_Variation
00MTG,4r1k1/2p1qpp1/3p4/1p1P2PQ/1P5b/3R3P/2PBr3/5RK1 b - - 6 26,h4f2 f1f2 e2f2 g1f2,617,81,93,220.0,advantage middlegame short,https://lichess.org/iabpAKVz/black#52,
00MWz,8/8/2B5/4pK2/3k1pPp/5n1P/8/8 b - - 3 57,f3g1 g4g5 g1e2 g5g6,792,77,97,2190.0,crushing endgame quietMove short,https://lichess.org/1sHbVvW6/black#114,
00MYL,1R6/3k1Q2/p2b1p2/2r1p3/3n4/P6P/5PP1/4qBK1 b - - 1 40,d7c6 f7b7,1084,83,93,538.0,mate mateIn1 middlegame oneMove,https://lichess.org/fwb6IEPk/black#80,
00MZr,1k5r/ppp5/2p5/3n4/5pQ1/3P1P1r/PPP2K2/5R2 w - - 2 26,f1g1 h3h2 g1g2 d5e3,2008,75,91,1327.0,crushing endgame short,https://lichess.org/LITlSDhw#51,
00Mbv,2k2b1r/pp3ppp/1n6/BN2p1P1/2Q1Nn1P/8/PP3P2/2KR4 b - - 0 24,b6c4 d1d8,1448,75,98,458.0,mate mateIn1 middlegame oneMove,https://lichess.org/h1QfViUk/black#48,
00Mca,1k6/1Pp1rqp1/p1R5/6pp/Q6P/1P6/P4PBK/3r4 b - - 5 34,e7e6 a4c4 e6c6 c4f7,2418,77,91,4220.0,crushing endgame short,https://lichess.org/FcSCJACK/black#68,
00MeO,r1b1kb1r/1p2np2/p1p4p/4PPp1/3PN3/8/PPP3PP/R1B2RK1 b kq - 0 15,c8f5 e4d6 e8d7 d6f5,1450,75,97,8658.0,advantage middlegame short,https://lichess.org/VgF6tpXG/black#30,French_Defense French_Defense_Normal_Variation
00Mei,8/6rk/6p1/1R3b1p/2pQ1P2/2P3P1/qP4PK/8 b - - 0 36,f5d3 d4d8 a2a7 b5b8 a7b8 d8b8,2577,78,82,193.0,advantage endgame long master quietMove,https://lichess.org/xvCSyLc3/black#72,
00Mf0,2kr3r/pp1b1pq1/2n1p3/2Pp4/5Np1/1QP3P1/P4PBP/R4RK1 b - - 4 19,g7h6 f1b1 h6h2 g1f1 c6a5 b3b4,2414,87,89,446.0,advantage long middlegame quietMove,https://lichess.org/rkMC42R8/black#38,
00Msq,r5k1/1pp2Bp1/5n1p/1q2N3/3P4/7P/5PP1/4Q1K1 b - - 2 30,g8f8 f7c4 b5c4 e5c4,1799,74,92,648.0,crushing endgame short,https://lichess.org/2cdEjZvR/black#60,
00MyT,r3q3/1ppknr2/p5pB/2pPn3/4P3/8/PPQ3BP/2K2R1R w - - 0 22,c2c5 e5d3 c1c2 d3c5,909,89,73,42.0,crushing fork middlegame short,https://lichess.org/IhPV4vCX#43,
00N3B,r2q1rk1/1bb2ppp/p1n1p3/4P3/Np1P4/1B2NP2/1P4PP/2RQ1RK1 b - - 0 20,d8d4 d1d4 c6d4 c1c7 d4b3 c7b7,1256,75,99,2329.0,crushing long middlegame,https://lichess.org/knYvxXRq/black#40,
00NAM,r5k1/pp3ppp/8/3p4/3P4/4R2P/q1P1QPPK/8 b - - 1 21,a2c4 e3e8 a8e8 e2e8,592,81,100,127.0,endgame mate mateIn2 short,https://lichess.org/be70QtoL/black#42,
00NBR,8/1p2np2/1Pp1k3/p1P3p1/P2K3p/7P/4BPP1/8 b - - 1 33,e7d5 e2c4 e6d7 c4d5,2019,84,84,39.0,crushing endgame short,https://lichess.org/CYEsHleN/black#66,
00NGM,3k1rr1/pR1b3Q/2pqp3/8/N2P4/8/5PB1/R4K2 w - - 5 34,b7a7 f8f2 f1e1 d6b4 a4c3 b4c3 e1f2 c3d4 f2f1 g8f8,2237,238,67,5.0,crushing middlegame veryLong,https://lichess.org/Z5cYm9YQ#67,
00NOI,3r4/2k2p1p/pp2pp2/2p5/3nN3/6P1/PPP2PRP/2K5 w - - 2 23,e4f6 d4e2 c1b1 d8d1,966,89,60,34.0,backRankMate endgame mate mateIn2 short,https://lichess.org/Z7mmtXNG#45,
00NUS,4rk2/pbp2pp1/1p1b4/3P1q2/QPBPN3/1KP2P2/P5r1/R3R3 w - - 0 25,e4d6 f5c2 b3a3 c2b2,1394,75,96,2327.0,mate mateIn2 middlegame short,https://lichess.org/jQaVQrR6#49,
00NUc,6k1/6pp/1PP5/4b3/3p4/Br5P/4prP1/R5RK w - - 1 30,c6c7 b3h3 g2h3 f2h2,1650,122,81,50.0,endgame mate mateIn2 sacrifice short,https://lichess.org/8FRZVN6d#59,
00NVe,2B4k/p1p3pb/8/5pnr/8/2P2R2/PPP2K2/6R1 w - - 6 34,c8f5 g5f3 f5g4 f3g1,1784,87,80,30.0,advantage endgame short,https://lichess.org/7yU1Aehr#67,
00NaX,4r1k1/1p2r3/p1p5/3p1p2/PP1P1q1p/2Q1P1pP/5PP1/4R1K1 w - - 0 39,e3f4 e7e1 c3e1 e8e1,400,89,100,210.0,endgame kingsideAttack mate mateIn2 queenRookEndgame short,https://lichess.org/rZL4HlNU#77,
00Nay,r2q1r2/ppp2pk1/3p1n2/4p1p1/2B1P3/2NP2Q1/PPP5/2K4R b - - 0 19,g7g6 g3h3 f8h8 h3f5 g6g7 f5g5,1896,74,96,4200.0,crushing deflection long middlegame quietMove,https://lichess.org/wMvkJfcA/black#38,
00Nej,6k1/1p3pp1/pB2qb1p/2P5/1P6/6QP/4r1P1/3R3K b - - 4 33,f6e5 d1d8 g8h7 g3d3 e6g6 d3e2,1115,79,91,3071.0,crushing endgame fork long,https://lichess.org/P5XLEtLV/black#66,
00Nf5,r1bq1rk1/pp2bppp/2pp1n2/8/5P2/5N2/PBPPB1PP/RN1Q1RK1 w - - 5 11,b1c3 d8b6 g1h1 b6b2 a1b1 b2a3,1599,74,94,8369.0,advantage fork long opening,https://lichess.org/JkE5qS7u#21,Polish_Opening Polish_Opening_Other_variations
00Nhl,5r1r/pR5p/k1ppb1n1/4p1Q1/N3P3/1P1P4/P1P3PP/6K1 w - - 1 23,b7h7 g6f4 g5f4 e5f4 h7h8 f8h8,2299,77,94,1297.0,advantage long middlegame,https://lichess.org/BEOTFmYh#45,
00Ns0,r2qr1k1/pn1p2pp/bp3p2/2p1N3/2P5/1PB3Q1/P1P3PP/R4RK1 w - - 0 18,f1f6 d8f6 a1f1 f6h6 e5g4 h6g6 c3g7 e8e4 g4f6 g8g7,2596,103,77,53.0,advantage hangingPiece intermezzo middlegame veryLong,https://lichess.org/ZyKw24YE#35,Bishops_Opening Bishops_Opening_Vienna_Hybrid
00Nua,8/1p1k2r1/p1p5/2P1R3/1P1pP3/P2r4/5RPK/8 w - - 1 31,a3a4 g7h7 h2g1 d3d1 f2f1 h7h1 g1h1 d1f1,1864,84,74,47.0,endgame,https://lichess.org/9qW9sLHW#61,
00O14,6k1/3P1pp1/4p3/p7/Q3R3/3q1PP1/1P3PK1/2r5 w - - 0 37,a4d4 d3f1 g2h2 f1h1,996,77,72,194.0,endgame mate mateIn2 short,https://lichess.org/IynnE0r9#73,
00O2z,r6r/2pk1ppp/p1np4/1pbBpN1q/4P1b1/5N2/PPPP1PRK/R1BQ4 w - - 12 18,h2g3 h5h3,842,122,85,27.0,mate mateIn1 middlegame oneMove,https://lichess.org/1pRUZ0aS#35,Ruy_Lopez Ruy_Lopez_Morphy_Defense
00O37,r1q1r1k1/1p3pp1/n1p4p/p1bpp2P/P3P3/2P2P2/1P1QBP2/R1BK3R b - - 3 23,c5f2 e2a6 b7a6 d2f2,1300,79,86,60.0,advantage discoveredAttack middlegame short,https://lichess.org/N2UAIb27/black#46,
00O3h,5k2/R3Rp2/6p1/1p5p/1P5K/2nr4/7P/8 b - - 7 43,d3d4 h4g5 c3e4 g5h6,1187,75,93,2147.0,crushing defensiveMove endgame short,https://lichess.org/71bhLvdU/black#86,
00O8m,r3r1k1/ppp2ppp/2nn1q2/8/3P4/P1P1P1P1/2Q3BP/R1B1KR2 b Q - 4 16,f6e6 d4d5 e6e5 d5c6,1388,76,86,1407.0,crushing fork middlegame short,https://lichess.org/G3Q51olU/black#32,Englund_Gambit_Declined Englund_Gambit_Declined_Reversed_French
00O9Z,5QR1/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 w - - 7 32,g8h8 f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1,1679,78,85,858.0,backRankMate deflection endgame fork master mate mateIn4 pin sacrifice veryLong,https://lichess.org/DKnGKRmQ#63,
00O9a,1k3r2/q5r1/2Qp3p/N2Bp3/4P1p1/P7/1PP2PPP/R5K1 w - - 12 35,a5c4 a7f2 g1h1 f2f1 a1f1 f8f1,989,88,91,721.0,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/t6wbqTty#69,
00OCQ,1rr3k1/5p1p/p5pQ/4p3/4q3/B3P3/PPPR1PPP/2KR4 w - - 6 27,c2c3 c8c3 b2c3 b8b1,916,76,99,587.0,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/kcUnWeDs#53,
00OKo,r3r1k1/pbq5/1p2pp1p/2p1N3/2PP2Q1/1P1B4/P5PP/R5K1 b - - 1 24,g8f8 a1f1 c7g7 f1f6 g7f6 e5d7,2359,79,78,73.0,advantage exposedKing long middlegame pin sacrifice,https://lichess.org/WuHXkAoT/black#48,
00OOp,5rk1/1bR3q1/pQ6/8/6r1/4R2P/P7/6K1 w - - 0 28,h3g4 g7g4 e3g3 g4g3,1053,91,86,82.0,endgame mate mateIn2 short,https://lichess.org/N1WcEYJH#55,
00OPi,5k2/5p1p/1p1P2p1/1B6/5P2/1P3KP1/n6P/8 w - - 0 38,f3e4 a2c3 e4d4 c3b5,853,81,100,76.0,advantage endgame fork short,https://lichess.org/4K29qsm1#75,
00OPk,6rk/7p/R2N3P/1r6/1P5K/P7/8/8 b - - 4 50,b5d5 d6f7,776,98,93,886.0,endgame mate mateIn1 oneMove,https://lichess.org/aDJVIeGE/black#100,
00OQt,8/8/8/p3b3/P1B2pKp/1Pk1p2P/6P1/8 w - - 8 50,g4h4 c3d2 h4g4 e3e2 c4e2 d2e2,1682,75,88,356.0,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/vZaFj9IE#99,
00OR6,2r4k/5Q1p/p7/1pq5/4p2N/2P3bP/PP4P1/4R2K b - - 0 34,g3e1 f7f6 h8g8 h4f5 c5f5 f6f5,2265,79,82,114.0,advantage endgame long quietMove,https://lichess.org/kMLJ7GPV/black#68,
00OXc,8/5K1p/1p4pk/8/3brp2/5R2/8/8 b - - 5 50,g6g5 f3h3,680,85,96,826.0,endgame mate mateIn1 oneMove,https://lichess.org/Dp1LJyaZ/black#100,
00Ocp,r3k3/p1pbq3/2p2p2/4p1p1/2B3p1/2P4r/P1P2PQP/3RR1K1 b q - 3 20,e7c5 g2e4 f6f5 e4e5 c5e5 e1e5,2098,145,73,17.0,crushing exposedKing long middlegame,https://lichess.org/fCyysDNm/black#40,
00Oft,3r4/p1pk1p1p/2pp1qr1/2b5/Q3P1b1/5NB1/P2N1PPP/R4RK1 w - - 2 16,g3h4 g4f3 d2f3 f6f3,1427,201,100,28.0,equality middlegame pin short,https://lichess.org/SpSdvvVa#31,
00Ohu,1n3rk1/r3q1bp/pp2p1p1/2p1NnN1/4QP2/BPP5/P2R2PP/5RK1 b - - 2 21,h7h6 e5g6 e7f6 g6f8,1479,75,52,115.0,crushing fork middlegame short,https://lichess.org/8qQE5EI4/black#42,
00OmS,r1bq1rk1/pp2pp1p/6pB/3Nb3/8/5B2/Pn2QPPP/R4RK1 b - - 1 15,e5h8 d5e7 d8e7 e2e7,1179,75,93,1645.0,crushing kingsideAttack middlegame short,https://lichess.org/eNcGmn5c/black#30,Scandinavian_Defense Scandinavian_Defense_Richter_Variation
00Oo2,k7/pp1r2p1/2n2q2/3b1P1B/1P5P/2P5/P4Q2/2KR2R1 w - - 1 32,c1c2 c6b4 c2b1 b4a2 f2c5 a2c3,2157,112,72,27.0,advantage long middlegame,https://lichess.org/DSMfbugE#63,
00Oqz,5r2/7r/2kpqB1P/p1p1p2Q/P3P3/2PP4/5P1K/6R1 w - - 0 40,g1g6 f8f6 g6f6 e6f6,980,76,100,329.0,crushing endgame short,https://lichess.org/OxaRmufB#79,
00Or5,r2qkbnr/pp5p/8/4Nb2/3p4/1QN5/PP2PPPP/R3KB1R b KQkq - 1 12,d4c3 b3f7,1479,88,57,239.0,mate mateIn1 oneMove opening,https://lichess.org/29LGsamW/black#24,Slav_Defense Slav_Defense_Other_variations
00Oyf,8/1p6/7p/3k1pp1/1P5P/3K1P2/6P1/8 w - - 0 39,h4g5 h6g5 d3c3 d5e5 c3c4 e5f4 c4c5 f4g3,2698,85,81,176.0,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/eysZBqWU#77,
00Ozz,3kRr2/3n1B1p/2pP4/p1n5/Ppp5/8/1P3PPP/4R1K1 b - - 8 32,f8e8 e1e8,868,100,84,193.0,endgame mate mateIn1 oneMove,https://lichess.org/gO3w1uZJ/black#64,
00P6j,r2n2k1/1bRq1rpp/1p6/3P4/p3Q3/B3P3/PP3PPP/3R2K1 b - - 0 20,d7c7 e4e8 f7f8 e8f8,1352,75,84,536.0,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/vBpR18cI/black#40,
00P7n,r4rk1/p1p1R1pp/2p2p2/5P2/6Q1/1P5P/q5PK/8 b - - 1 30,a2b3 g4g7,1465,456,71,6.0,endgame mate mateIn1 oneMove,https://lichess.org/bFrOMLOq/black#60,
00P81,6k1/5p2/4p2p/3pPP2/1R5P/7r/2B5/2b2K2 b - - 0 46,h3c3 b4b8 g8h7 f5e6 c3c2 e6e7,2251,75,93,6017.0,advancedPawn crushing discoveredAttack endgame long sacrifice,https://lichess.org/SIETCqbJ/black#92,
00PF3,2kr3r/Qpp2ppp/3b1n2/8/3N4/4P1Pq/PP1B1P1P/2R2RK1 w - - 4 18,d4b5 f6g4 b5d6 d8d6 c1c7 c8c7,1440,76,83,267.0,advantage long middlegame,https://lichess.org/c2JUCAZJ#35,Queens_Gambit_Declined Queens_Gambit_Declined_Baltic_Defense
00PGi,3r1q1k/pppb2pp/2np4/6N1/5B2/1Q4P1/PP4PP/4R2K b - - 11 24,b7b6 g5f7 f8f7 b3f7,1084,79,93,1047.0,crushing fork middlegame short,https://lichess.org/qzZ4hC7X/black#48,
00PHg,R7/P4p2/5k1p/q5n1/5R2/7P/5PK1/8 b - - 2 46,f6e5 a8e8 e5f4 a7a8q a5a8 e8a8,1298,293,100,6.0,advancedPawn advantage clearance endgame long promotion,https://lichess.org/u5o6sm6r/black#92,
00PIO,2k1r2r/1p2P3/p1b1p3/3p1npp/5q2/1N3N1Q/PP3PPP/2R2RK1 w - - 1 22,f3d4 f5d4 b3d4 f4d4 h3e6 c8c7,2210,81,88,770.0,crushing long middlegame,https://lichess.org/QcmS4aBG#43,
00Pbs,3r1rk1/Q3qppp/8/1ppb4/2Pn1B1n/2N3P1/PP3P2/R2R1K2 w - - 0 21,a7e7 d5g2 f1e1 h4f3,2084,75,80,168.0,mate mateIn2 middlegame short,https://lichess.org/fA2DSaPB#41,
00Pgk,r2q1rk1/pbp1bp2/1p2pn1Q/5nN1/8/P1NB4/1PP3PP/R4RK1 w - - 2 17,d3f5 d8d4 g1h1 e6f5,2417,78,84,125.0,advantage intermezzo middlegame short,https://lichess.org/pe4L6fzJ#33,French_Defense French_Defense_Henneberger_Variation
00Pms,r1b1kr2/p1p2pQp/1p2pP2/8/8/1P4P1/P2KNP1P/R1B4q b q - 0 17,c8a6 g7f8 e8f8 c1a3 f8e8 a1h1,2117,93,86,25.0,advantage attraction discoveredAttack long middlegame sacrifice,https://lichess.org/UXAS6vpF/black#34,French_Defense French_Defense_Other_variations
00Pr6,r1b2rk1/p4ppp/2p5/6q1/2p3P1/3P1Q1P/PPP5/1K2RR2 b - - 0 17,c4d3 f3f7 f8f7 e1e8 f7f8 f1f8,1469,75,93,1803.0,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/CtrEbVZV/black#34,Kings_Knight_Opening Kings_Knight_Opening_Normal_Variation
00PrK,r7/7R/P3k3/4p2p/3b2p1/3K4/8/5R2 b - - 7 55,a8a6 h7h6 e6d5 h6a6,969,81,91,180.0,crushing endgame short skewer,https://lichess.org/N9FWAV9a/black#110,
00PvX,8/n7/P7/3k4/PK6/7P/5PP1/8 w - - 0 53,b4a5 d5c5 f2f3 a7c6,1647,76,86,238.0,endgame knightEndgame mate mateIn2 short,https://lichess.org/tH6dRFcZ#105,
00Pw1,5r1k/2p3Rp/3p4/p2Pn3/1p2B3/1P6/PKP2r1P/6R1 b - - 1 28,f2e2 g7h7,1090,76,100,246.0,endgame mate mateIn1 oneMove,https://lichess.org/WAkWH6IK/black#56,
00Q4v,8/2p1b3/q1Pp2k1/3Pp3/4Pr2/1Q3PK1/3N2P1/7R w - - 1 47,h1e1 e7h4 g3h2 h4e1,1230,81,74,61.0,crushing endgame short skewer,https://lichess.org/gHKVgDSR#93,
00QCD,3r1rk1/1Q3ppp/1q2pb2/8/1P1N4/4P1P1/3B1PBP/R5K1 b - - 0 23,b6b7 g2b7 f6d4 e3d4,1057,75,94,230.0,advantage middlegame short,https://lichess.org/AFf6cmqa/black#46,
00QCe,1k5r/n2r2pp/5p2/ppN5/5P2/8/2R3PP/1R4K1 b - - 3 28,d7c7 c5a6 b8b7 a6c7,1350,76,93,1203.0,crushing endgame fork short,https://lichess.org/fovXj5D1/black#56,
00QHM,6k1/pp3rpp/4Nb2/4p3/1B1r4/6PK/PP5P/2R5 b - - 0 28,d4b4 c1c8 f6d8 c8d8 f7f8 d8f8,907,95,94,201.0,endgame long mate mateIn3,https://lichess.org/VyUHT6ng/black#56,
00QOa,6rk/1pp1R1p1/6Bp/2b4P/8/pP3PK1/P1P5/8 w - - 5 32,e7c7 c5d6 f3f4 d6c7,883,107,95,513.0,crushing endgame fork short,https://lichess.org/afclLtrR#63,
00QQS,2r3k1/1p1q1ppp/4p3/Q7/3P4/P1B5/1Pr2PPP/R5K1 b - - 0 22,d7d4 c3d4 c2c1 a5e1,1828,167,43,16.0,advantage endgame hangingPiece short,https://lichess.org/tG606j71/black#44,
00QVZ,8/7p/4K3/6p1/2k3P1/8/5P2/8 b - - 0 43,c4d4 e6f5 h7h6 f5g6 d4e4 g6h6,1478,75,81,513.0,crushing endgame long pawnEndgame,https://lichess.org/gVqoHhuS/black#86,
00QW1,8/3r1ppp/4p3/k3P3/pR2R2P/2P5/2Kr1PP1/8 w - - 4 31,c2c1 d2d1 c1b2 d7d2 b2a3 d1a1,959,85,94,154.0,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/I3LnvYRW#61,
00QY3,2k3r1/pp5p/4p3/2p2p2/2P5/P4P1q/1PQ1RR1b/7K w - - 0 32,f2h2 h3f1,1048,76,88,280.0,endgame master mate mateIn1 oneMove,https://lichess.org/Ip4qQXo1#63,
00QZ3,r1bq3r/ppppnkpp/2n5/b5N1/4P3/B1P5/P4PPP/RN1QK2R b KQ - 1 9,f7f8 d1f3 f8e8 f3f7,1226,79,92,1545.0,mate mateIn2 opening short,https://lichess.org/PiCJ1gmH/black#18,Scotch_Game Scotch_Game_Scotch_Gambit
00QZV,r1bk4/pppp3p/2n5/2b1prN1/8/1B6/PPPP2PP/RNB2RK1 w - - 1 14,g1h1 f5f1,600,88,33,61.0,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/0CTltFgg#27,Italian_Game Italian_Game_Two_Knights_Defense
00QjF,8/8/1pr1p1kp/pbPp2pN/3Pp1P1/1P2K3/P6P/2R5 b - - 0 29,e6e5 c5b6 c6c1 b6b7 c1e1 e3d2,2103,76,86,701.0,advancedPawn crushing endgame long sacrifice,https://lichess.org/oPvDBkpv/black#58,
00QkV,5k1r/p3Rpbp/3N2p1/4nbB1/2P5/3rP3/q4PPP/3Q1RK1 b - - 2 16,f7f6 e7e8,1008,75,100,281.0,middlegame,https://lichess.org/R69epPjY/black#32,Grunfeld_Defense Grunfeld_Defense_Three_Knights_Variation
00Qm5,r2q1rk1/p3b1pp/2p5/4ppB1/4p1nP/2N5/PPP1QPP1/3R1RK1 b - - 8 15,d8c7 e2c4 g8h8 c3d5 c6d5 c4c7,1986,76,94,7055.0,crushing long middlegame,https://lichess.org/8fF68Ntt/black#30,Queens_Pawn_Game Queens_Pawn_Game_Morris_Countergambit
00QnO,1k1r1r2/pp4p1/6q1/2Qp4/5bP1/2P4p/PPN3NP/R4R1K w - - 0 30,g2f4 g6e4 h1g1 f8f4,1339,75,92,3091.0,crushing fork intermezzo middlegame short,https://lichess.org/9GENZopF#59,
00Qnn,r1bqkb1r/ppp1n1p1/7p/3Pp1N1/2P5/8/PP3PPP/RNBQK2R w KQkq - 0 11,d1h5 g7g6 h5e2 h6g5,1476,222,100,10.0,defensiveMove equality opening short,https://lichess.org/bvZx0hh4#21,
00Qo8,8/8/RP4p1/1r1N1pkp/P1n1p3/6P1/6P1/4K3 b - - 0 49,b5d5 b6b7 d5d8 a6a8,1020,75,100,146.0,endgame,https://lichess.org/Sxlq7BKB/black#98,
00Qog,1r3rk1/pP2qppp/1b3n2/1Q2p3/4P3/2NP1bP1/PP2NP1P/R1B2RK1 w - - 1 15,c1g5 e7e6 e2f4 e5f4,2157,75,93,2506.0,crushing middlegame short,https://lichess.org/5wfin3S4#29,English_Opening English_Opening_Carls-Bremen_System
00QqI,r6r/pQ2nkpp/4b3/2p1q3/4p3/2N5/PP1B1PPP/R4RK1 w - - 1 15,c3e4 e6d5 e4g5 e5g5 d2g5 d5b7,1668,75,82,97.0,advantage long middlegame,https://lichess.org/71TDmfZz#29,Scotch_Game Scotch_Game_Scotch_Gambit
00QyM,8/3k4/1pp3p1/4Pp1p/2PK1P1P/pP6/P7/8 b - - 1 35,d7e6 b3b4 e6e7 b4b5 c6b5 c4b5,2123,80,91,375.0,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/DcRRuwOx/black#70,
00R0l,rnbqkb1r/pp3p1p/6pP/P1ppp3/6n1/3P1P2/1PP1P1P1/RNBQKBNR b KQkq - 0 7,g4h6 c1h6 f8h6 h1h6,1318,77,87,1471.0,advantage opening short,https://lichess.org/y06s0jL8/black#14,Ware_Opening Ware_Opening_Other_variations
00R0m,8/4k2p/Q1p1p3/p2pP1r1/q7/P6P/1P3PK1/2R2R2 w - - 1 28,g2f3 a4e4,1356,98,38,25.0,endgame mate mateIn1 oneMove,https://lichess.org/qcC85YJl#55,
00R2A,2kr1b1R/p5p1/8/3P1p2/8/4B3/PPPK1P2/8 w - - 1 25,c2c4 f8b4 d2d3 d8h8,762,77,100,990.0,crushing discoveredAttack endgame short,https://lichess.org/ZjzT3REI#49,
00R4l,r1b5/p4pkp/3p2p1/2pPr3/2P5/1P1B4/R4PPP/R5K1 w - - 0 24,a2a7 a8a7 a1a7 e5e1 d3f1 c8f5,1556,76,89,1544.0,advantage defensiveMove endgame long,https://lichess.org/IQW9ts1W#47,
00R8C,r4q1k/2bn2p1/2p3pp/1pP5/1P1B2P1/1Q1P1r1P/5PB1/4RRK1 w - - 0 27,g2f3 f8f4 d4g7 h8h7 e1e5 d7e5 g7e5 c7e5 f1e1 f4f3,2366,101,77,38.0,crushing fork master middlegame veryLong,https://lichess.org/ZILz4GAu#53,
00R9D,8/1k6/1pn1R3/8/Pp4p1/4P3/5PK1/8 w - - 0 51,e6e4 b4b3 e4g4 b3b2,1132,198,82,3.0,advancedPawn crushing endgame short,https://lichess.org/3ZXSyu03#101,
00RPk,8/2p5/5ppp/1PkP4/p4PPP/P1K5/8/8 b - - 0 39,c5b5 c3d4 c7c5 d5c6 b5c6 d4c4,2491,92,94,385.0,advantage defensiveMove enPassant endgame long pawnEndgame,https://lichess.org/vOFXdfEu/black#78,
00RWr,6k1/5pp1/n3p2p/1q1pN3/8/4PB1P/Q4PPK/2r5 b - - 3 36,a6c5 a2a8 g8h7 e5f7 b5b2 a8h8 h7g6 h8g8 g6f6 f3h5,2672,86,90,106.0,crushing defensiveMove deflection endgame veryLong,https://lichess.org/20uXWTrv/black#72,
00RYH,1k5r/ppp1R2p/3r1p2/5Q2/3p4/2qP4/2P2PPP/2K1R3 b - - 5 26,d6a6 e7e8 h8e8 e1e8,1031,81,89,113.0,backRankMate endgame mate mateIn2 short,https://lichess.org/qGI2u50w/black#52,
00RbX,3r2k1/2q1bppp/b3n3/p2N4/2p1P3/P3QN2/1PP2PPP/4R1K1 b - - 1 22,e7c5 d5c7 c5e3 c7e6 e3f2 g1f2,1689,77,78,103.0,advantage long middlegame,https://lichess.org/vo7nrvYf/black#44,
00Rcs,3k4/ppp2p1r/4p2P/5n2/3Pp1N1/2P2K2/P1P3P1/7R w - - 0 30,f3e4 f5g3 e4f4 g3h1,820,85,96,2206.0,crushing endgame fork short,https://lichess.org/6z8dEdCK#59,
00Rdf,2kr4/p1pr1pp1/1p4p1/1PP1P3/3B1PP1/PQ2Pn1P/2KRR3/5q2 w - - 1 30,c5b6 d7d4 e3d4 f3d4 c2b2 d4b3,1905,147,23,15.0,advantage exposedKing fork long middlegame,https://lichess.org/1DyqIpsd#59,
00Rlv,r3k1nr/p1q3pp/1pb1p3/2b2p2/8/N1BQ1P2/PPP3PP/2KR3R b kq - 3 14,a8d8 d3d8 c7d8 d1d8,613,93,78,128.0,advantage middlegame short,https://lichess.org/DoFZ2KjY/black#28,Duras_Gambit Duras_Gambit_Other_variations
00RoG,2kr2nr/pp2nppp/2pp4/2b2PP1/4NPq1/3B1R2/PPP4P/R2QB2K w - - 5 18,h2h3 g4g1,1072,82,94,619.0,mate mateIn1 oneMove opening,https://lichess.org/rOjlXCXv#35,Scotch_Game Scotch_Game_Other_variations
00Rqg,2k1r2r/Qpq5/3bp3/1P1P4/5pp1/2P5/1B2RPP1/R5K1 w - - 1 28,e2e6 c7h7 a7a8 d6b8 e6c6 b7c6,2531,84,68,94.0,advantage defensiveMove long middlegame quietMove,https://lichess.org/HiWWZDYW#55,
00RtC,r4k2/ppp3p1/3p3r/2q5/2NnP3/2Q2PBp/PP3R1P/5RK1 w - - 4 25,b2b4 d4e2 g1h1 c5f2 c3g7 f8g7,1921,82,79,48.0,advantage deflection discoveredAttack long middlegame pin,https://lichess.org/cgruxBCC#49,
